,title,description,descriptionPos,descriptionNeg,publishedAt,viewCount,likeCount,dislikeCount,commentsPos,commentsNeg
0,"Tasmanian devils born on Australian mainland after 3,000 years - BBC News",Tasmanian devils have been born on the Australian mainland for the first time in thousands of years. Conservationists introduced the species back into a ...,0,1,2021-05-25T23:54:36Z,231078,2431,121,143,187
1,Carey Mulligan criticises ‘devastating’ UK government delay to charity aid - BBC Newsnight,"Carey Mulligan tells Newsnight's Emily Maitlis it's ""devastating"" the UK government is delaying paying its promised aid funding. Please subscribe HERE ...",1,2,2021-05-25T23:35:18Z,49807,805,83,133,181
2,"George Floyd:  one year after his murder, Minneapolis remembers - BBC News","On the first anniversary of the murder of George Floyd, members of his family have met President Biden, and in Minneapolis a celebration of his life has taken ...",1,1,2021-05-25T21:42:32Z,21966,309,123,88,61
3,Sri Lanka navy rescue crew following chemical fire on cargo ship - BBC News,The crew of a container ship off the coast of Sri Lanka had to be evacuated after a chemical fire caused an explosion. Two sailors from the Singaporean X-Press ...,0,0,2021-05-25T14:48:20Z,138351,2051,156,198,279
4,Mouse plague deals fresh blow to Australian farmers - BBC News,"Rural Australia has taken a battering over the last few years, with drought, fires and floods - and many farms in New South Wales are now having to deal with a ...",0,2,2021-05-25T13:17:55Z,80865,1593,97,222,284
5,EU agrees new Belarus sanctions after plane arrest - BBC News,The EU has decided to ban Belarusian airlines from European skies after a flight was diverted to Minsk on Sunday and a dissident journalist arrested.,0,1,2021-05-25T10:37:05Z,14269,204,296,69,178
6,US Secretary of State Antony Blinken arrives in Israel - BBC News,"The US Secretary of State, Antony Blinken, has arrived in Israel, to try and secure the four-day ceasefire between the Israelis and the Palestinian militants.",1,0,2021-05-25T10:36:06Z,101358,1395,139,187,344
7,Belarus: EU imposes sanctions after Roman Protasevich arrest - BBC Newsnight,"Roman Protasevich, 26, was on a flight from Greece which was rerouted to Minsk on Sunday over a supposed bomb threat. Western countries have accused ...",0,2,2021-05-24T22:58:47Z,30374,371,54,137,108
8,Palestinian community mourns 7 children killed in Gaza airstrike - BBC News,"Palestinians and Israelis are counting the cost of the latest conflict, which claimed the lives of more than 250 people, almost all of them in Gaza. In one ...",0,1,2021-05-24T22:46:15Z,317235,4878,232,398,266
9,Sanctions on Belarus after “state-sponsored hijacking” of Ryanair flight - BBC News,"International sanctions have been imposed on Belarus, after a Ryanair passenger jet was forced to divert and land there, so the authorities could arrest a ...",0,0,2021-05-24T21:32:59Z,70589,1097,297,229,184
